pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
CU,6/3/18,75.1,3.0018,6.3553,Jace Fry,592885,605240,field_out,hit_into_play,,,,,14,Christian Yelich bunt grounds out to first baseman Jose Abreu.  ,R,L,L,CWS,MIL,X,3,ground_ball,0,0,2018,-0.379,-1.3888,0.8401,2.5197,null,null,null,0,8,Top,150.8,173.04,,,554054,,180603_203452,-3.7331,-108.9477,1.5765,-2.1669,20.417,-43.2761,3.5836,1.7352,4,47.8,-38.502,72.95,2358,4.985,530291,605240,554054,547989,660162,570560,641313,605508,641553,572204,55.5146,0.147,0.128,0,1,0,0,1,58,1,Curveball,4,1,1,4,1,4,1,4,Standard,Standard
SI,9/7/18,91.3,2.9442,6.0478,Derek Holland,592885,502706,field_out,hit_into_play,,,,,9,Christian Yelich grounds out to first baseman Brandon Belt.  ,R,L,L,MIL,SF,X,3,ground_ball,1,0,2018,1.1853,0.9372,0.28,1.6194,null,null,null,2,3,Bot,156.86,167.59,,,460026,,180908_005644,-9.1156,-132.5239,-7.185,15.6215,26.1838,-20.0471,3.4845,1.6235,1,70.9,-56.883,90.698,2214,5.893,531522,502706,460026,474832,605412,446334,593700,622046,491676,596103,54.6064,0.189,0.157,0,1,0,0,2,22,2,Sinker,2,0,2,0,0,2,2,0,Standard,Standard
FF,9/21/18,92,2.6663,5.3525,Steven Brault,592885,643230,field_out,hit_into_play,,,,,5,Christian Yelich grounds out to first baseman Josh Bell.  ,R,L,L,PIT,MIL,X,3,ground_ball,3,1,2018,1.0119,0.9667,0.2088,2.5486,null,null,570731,2,6,Top,147.17,173.04,,,553869,,180922_031005,-8.5624,-133.8601,-3.4638,14.1962,27.6237,-19.7652,3.4274,1.6414,4,92.9,-31.84,93.148,2072,6.876,531705,643230,553869,605137,624428,592567,621028,572816,516782,622569,53.6231,0.073,0.057,0,1,0,0,2,49,5,4-Seam Fastball,3,7,7,3,7,3,7,3,Standard,Standard
FF,4/30/18,92,0.8953,5.88,Brandon Finnegan,592885,605232,single,hit_into_play_no_out,,,,,12,Christian Yelich singles on a ground ball to right fielder Scott Schebler.  ,R,L,L,CIN,MIL,X,null,ground_ball,1,1,2018,0.9956,1.4634,1.1946,2.393,null,null,null,2,3,Top,187.48,131.84,,,571466,,180430_234701,-1.3176,-133.7139,-6.0069,11.9309,28.0303,-14.0295,3.2649,1.4154,99,88.1,7.101,90.844,2115,5.591,529833,605232,571466,458015,607468,553993,606299,608385,571740,594988,54.9085,0.492,0.435,0.9,1,1,0,4,18,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard
SL,8/30/18,86.4,2.8703,5.5686,Cody Reed,592885,642003,field_out,hit_into_play,,,,,13,Christian Yelich grounds out to first baseman Joey Votto.   Lorenzo Cain to 2nd.  ,R,L,L,CIN,MIL,X,3,ground_ball,0,1,2018,-0.2317,-0.0523,-0.3132,1.4902,null,null,456715,0,1,Top,144.68,176.26,,,592200,,180830_163822,-7.039,-125.5908,-3.416,-1.1648,22.4045,-32.3284,3.2684,1.7455,3,66.7,-31.844,85.846,2527,5.728,531413,642003,592200,458015,599096,641525,606299,640447,592863,594988,54.7722,0.057,0.059,0,1,0,0,2,2,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard
FT,8/7/18,90.1,3.8873,5.7778,Clayton Richard,592885,453385,fielders_choice_out,hit_into_play,,,,,14,"Christian Yelich reaches on a fielder's choice out, first baseman Eric Hosmer to catcher Austin Hedges.   Chase Anderson out at home.    Lorenzo Cain to 3rd.  ",R,L,L,MIL,SD,X,3,ground_ball,0,0,2018,1.4421,0.1466,1.046,2.3525,502624,456715,null,1,2,Bot,150.8,167.59,,,595978,,180808_004108,-9.6739,-130.5563,-2.7573,17.7134,26.0071,-30.2898,3.56,1.72,10,81.6,-11.982,87.814,2101,4.969,531116,453385,595978,543333,605486,570799,520471,592669,622534,614177,55.5301,0.107,0.1,0,1,0,0,2,17,1,2-Seam Fastball,4,0,4,0,0,4,4,0,Strategic,Standard
CU,4/19/18,73.1,2.0265,5.7525,Dillon Peters,592885,596071,field_out,hit_into_play,,,,,3,"Christian Yelich grounds out, first baseman Justin Bour to pitcher Dillon Peters.  ",R,L,L,MIL,MIA,X,3,ground_ball,0,1,2018,-0.9994,-1.4579,0.6153,3.3146,null,null,null,0,5,Bot,152.99,164.41,,,592663,,180420_015225,-1.1628,-105.8923,4.8803,-6.912,20.8277,-43.8676,3.2697,1.4156,18,93.7,-9.527,70.894,2890,5.172,529686,596071,592663,571506,516770,605119,500743,518618,621446,457727,55.327,0.197,0.188,0,1,0,0,2,40,2,Curveball,3,3,3,3,3,3,3,3,Infield shift,Standard
SL,8/11/18,87.1,2.0556,5.9861,Jesse Biddle,592885,592145,field_error,hit_into_play_no_out,,,,,1,"Christian Yelich reaches on a missed catch error by pitcher Jesse Biddle, assist to first baseman Freddie Freeman.  ",R,L,L,ATL,MIL,X,3,ground_ball,1,1,2018,-0.2821,0.0474,-0.3541,3.1629,null,null,null,0,8,Top,144.67,171.83,,,435559,,180812_011333,-5.1596,-126.7503,-0.7435,-1.9962,24.21,-31.7659,3.57,1.72,2,74.5,-57.982,86.329,2275,5.645,531161,592145,435559,518692,645277,622666,621020,660670,542255,455976,54.8529,0.186,0.166,0.9,1,0,0,2,55,3,Slider,2,1,1,2,1,2,1,2,Standard,Standard
FF,8/22/18,94.7,2.2643,6.2677,Amir Garrett,592885,607237,single,hit_into_play_no_out,,,,,3,Christian Yelich singles on a ground ball to second baseman Scooter Gennett.   Hernan Perez to 2nd.  ,R,L,L,MIL,CIN,X,null,ground_ball,0,0,2018,0.7964,0.9192,0.2771,2.9311,null,null,541650,0,8,Bot,166.71,142.06,,,592200,,180822_205319,-6.999,-137.9362,-5.207,11.6415,25.9483,-19.4547,3.49,1.601,4,82.3,-34.502,95.7,1915,6.471,531306,607237,592200,571466,571697,599096,606299,640447,571740,592863,54.0288,0.052,0.056,0.9,1,1,0,2,67,1,4-Seam Fastball,4,0,4,0,0,4,4,0,Standard,Standard
FT,7/23/18,88.4,2.3152,5.3662,Gio Gonzalez,592885,461829,field_out,hit_into_play,,,,,9,Christian Yelich grounds out to first baseman Ryan Zimmerman.  ,R,L,L,MIL,WSH,X,3,ground_ball,1,0,2018,1.3873,0.9348,0.2902,1.8323,null,468504,542979,2,4,Bot,159.88,162.74,,,446308,,180724_014427,-7.736,-128.4247,-4.417,16.772,26.2848,-21.264,3.49,1.601,5,85.3,-21.298,87.878,1997,6.026,530915,461829,446308,475582,502517,543685,607208,665742,547180,594809,54.4734,0.068,0.054,0,1,0,0,2,36,2,2-Seam Fastball,3,1,3,1,1,3,3,1,Standard,Standard
