pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
SL,7/30/18,81.4,-2.0354,5.9955,Kenta Maeda,592885,628317,field_out,hit_into_play,,,,,9,Christian Yelich grounds out softly to first baseman Max Muncy.  ,R,L,R,LAD,MIL,X,3,ground_ball,0,2,2018,0.687,0.0457,0.5319,1.6506,null,null,null,1,4,Top,158.6,165.89,,,518735,,180731_040841,4.4095,-118.2672,-3.1523,5.3743,23.1695,-31.4092,3.49,1.601,3,56.8,-30.014,79.979,2466,5.455,531005,628317,518735,571970,400284,592518,621035,592626,641355,624577,55.0441,0.052,0.05,0,1,0,0,1,34,3,Slider,1,4,4,1,4,1,4,1,Strategic,Standard
FT,6/28/18,94.6,-1.5862,5.612,Anthony DeSclafani,592885,543101,field_out,hit_into_play,,,,,9,Christian Yelich grounds out to first baseman Joey Votto.  ,R,L,R,CIN,MIL,X,3,ground_ball,1,2,2018,-1.2113,0.6319,0.4433,1.6963,null,null,null,1,1,Top,157.85,169.83,,,571466,,180628_231451,7.9989,-137.5686,-5.9799,-17.1159,28.1455,-23.0714,3.3084,1.4801,4,87.3,-22.355,94.989,2048,6.377,530618,543101,571466,458015,571697,553993,606299,594807,571740,608385,54.1228,0.089,0.06,0,1,0,0,2,2,4,2-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard
SL,9/17/18,87,-1.8024,5.6824,Anthony DeSclafani,592885,543101,double,hit_into_play_no_out,,,,,14,"Christian Yelich doubles (30) on a ground ball to right fielder Scott Schebler, deflected by first baseman Joey Votto.   Curtis Granderson to 3rd.  ",R,L,R,MIL,CIN,X,3,ground_ball,0,1,2018,0.5472,-0.0831,0.4438,1.4433,null,null,434158,1,3,Bot,197.44,120.35,,,592200,,180918_003127,4.2607,-126.6902,-3.8482,5.0203,24.5521,-32.5359,3.49,1.601,7,92.8,-12.505,86.815,2377,6.016,531650,543101,592200,458015,571697,553993,606299,640447,571740,594988,54.4831,0.152,0.148,1.25,1,1,1,2,24,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard
CH,4/24/18,84.9,-2.0804,5.6667,Ian Kennedy,592885,453178,field_out,hit_into_play,,,,,7,Christian Yelich grounds out to first baseman Lucas Duda.   Jonathan Villar to 3rd.    Lorenzo Cain to 2nd.  ,R,L,R,KC,MIL,X,3,ground_ball,1,1,2018,-0.7136,1.1176,-0.5975,1.6823,null,542340,456715,1,3,Top,126.95,202.37,,,521692,,180425_005508,4.8522,-123.4934,-5.2415,-8.1359,21.7454,-20.052,3.3257,1.4776,4,64.5,-26.331,84.867,1986,6.032,529752,453178,521692,446263,593160,519058,444876,460086,445055,624585,54.4675,0.052,0.058,0,1,0,0,2,18,3,Changeup,0,0,0,0,0,0,0,0,Standard,Standard
FC,7/26/18,91.2,-1.8352,6.3678,Mark Melancon,592885,453343,single,hit_into_play_no_out,,,,,6,Christian Yelich singles on a ground ball to first baseman Austin Slater.  ,R,L,R,SF,MIL,X,null,ground_ball,2,1,2018,0.1222,0.8964,0.624,2.482,null,null,null,0,8,Top,156.25,169.41,,,457763,,180727_042448,5.9095,-132.679,-5.814,0.2593,26.5633,-20.6388,3.4857,1.7044,8,98.3,-16.362,91.267,2322,6.197,530949,453343,457763,596103,488818,446334,543063,452254,621453,457705,54.3004,0.189,0.17,0.9,1,1,0,2,58,4,Cutter,2,2,2,2,2,2,2,2,Standard,Standard
FF,7/14/18,96.7,-1.1856,6.337,Clay Holmes,592885,605280,double,hit_into_play_no_out,,,,,14,Christian Yelich doubles (15) on a ground ball to right fielder Gregory Polanco.  ,R,L,R,PIT,MIL,X,null,ground_ball,0,0,2018,-0.8626,1.0348,0.9365,2.1321,null,null,null,1,1,Top,216.95,111.65,,,607732,,180714_202500,7.5597,-140.4546,-7.9473,-12.9881,30.38,-17.0545,3.4204,1.5715,21,88.2,-4.85,96.363,2118,6.097,530511,605280,607732,605137,543281,501896,621559,656669,516782,570256,54.4022,0.2,0.2,1.25,1,1,1,2,2,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard
CH,9/2/18,86.4,-2.8738,5.4334,Koda Glover,592885,606983,field_out,hit_into_play,,,,,7,"Christian Yelich grounds out, first baseman Mark Reynolds to pitcher Koda Glover.  ",R,L,R,WSH,MIL,X,3,ground_ball,2,1,2018,-1.4232,0.3263,-0.3563,2.1067,null,null,541650,2,9,Top,160.61,164.41,,,571851,,180902_205426,8.7895,-125.4771,-2.3376,-16.6139,24.7229,-28.5278,3.49,1.6,4,81.8,-26.495,85.886,1625,6.009,531455,606983,571851,448602,594694,543685,607208,665742,664057,594809,54.4902,0.055,0.04,0,1,0,0,2,82,4,Changeup,4,9,9,4,9,4,9,4,Standard,Standard
FF,7/13/18,92.6,-2.2309,6.3677,Nick Kingham,592885,592468,field_out,hit_into_play,,,,,4,Christian Yelich grounds out to first baseman Josh Bell.  ,R,L,R,PIT,MIL,X,3,ground_ball,2,0,2018,-0.343,0.9668,-0.5615,2.65,null,null,null,2,1,Top,157.46,162.74,,,465041,,180713_231140,4.9051,-134.7953,-5.7472,-4.9741,23.844,-19.7951,3.4233,1.5742,5,85.8,-29.951,91.918,2264,5.448,530817,592468,465041,605137,543281,592567,474568,572816,516782,570256,55.0516,0.052,0.051,0,1,0,0,2,3,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard
FC,7/20/18,90.3,-1.8348,6.2353,Kenley Jansen,592885,445276,triple,hit_into_play_score,,,,,3,Christian Yelich triples (3) on a ground ball to right fielder Enrique Hernandez.   Manny Pina scores.    Brett Phillips scores.  ,R,L,R,MIL,LAD,X,null,ground_ball,0,0,2018,0.5885,1.1254,0.6681,2.9126,null,444489,621433,2,9,Bot,227.72,99.75,,,518735,,180721_031529,5.01,-131.49,-4.831,5.9234,27.0945,-18.0617,3.3859,1.5364,76,96.4,2.797,91.369,2558,6.834,530865,445276,518735,641355,523253,571970,592518,592626,621035,571771,53.6653,0.526,0.486,1.6,1,1,2,4,80,1,Cutter,2,6,2,6,6,2,2,6,Standard,Standard
CH,5/27/18,86,-1.6748,5.9047,Robert Gsellman,592885,607229,force_out,hit_into_play,,,,,8,"Christian Yelich grounds into a force out, first baseman Adrian Gonzalez to shortstop Amed Rosario.   Lorenzo Cain out at 2nd.    Christian Yelich to 1st.  ",R,L,R,MIL,NYM,X,3,ground_ball,1,1,2018,-1.3045,0.533,-0.0887,2.1545,null,null,456715,1,7,Bot,156.55,158.32,,,621512,,180527_202315,6.3515,-125.0668,-3.7108,-14.8442,24.4375,-26.1113,3.3119,1.6375,32,88,-1.78,85.774,1533,6.107,530193,607229,621512,408236,452678,641645,642708,430832,624424,457803,54.392,0.257,0.239,0,1,0,0,2,59,3,Changeup,4,6,4,6,6,4,4,6,Standard,Standard
CH,5/16/18,83.4,-0.9015,5.8634,Matt Koch,592885,571863,field_out,hit_into_play,,,,,8,"Christian Yelich grounds out, first baseman Paul Goldschmidt to pitcher Matt Koch.  ",R,L,R,ARI,MIL,X,3,ground_ball,0,0,2018,-0.9785,0.92,0.1541,1.8862,null,null,null,0,5,Top,152.86,167.92,,,488671,,180516_211326,4.2736,-121.2339,-4.4197,-10.3191,23.9537,-22.6352,3.4861,1.5602,9,72.8,-13.316,82.622,1666,5.854,530045,571863,488671,502671,606466,518614,605113,444482,502481,519306,54.6481,0.06,0.054,0,1,0,0,2,37,1,Changeup,2,6,6,2,6,2,6,2,Standard,Standard
FF,5/4/18,92.6,-2.1979,6.5032,Nick Kingham,592885,592468,field_out,hit_into_play,,,,,12,Christian Yelich grounds out softly to first baseman Josh Bell.  ,R,L,R,MIL,PIT,X,3,ground_ball,0,1,2018,-0.1226,1.4773,1.1886,3.2734,null,null,null,2,3,Bot,158.55,166.6,,,465041,,180505_011137,8.7663,-134.4027,-5.4904,-3.2664,27.8166,-13.7785,3.3608,1.5113,58,57.9,6.08,91.392,2414,5.601,529892,592468,465041,605137,624428,592567,474568,572816,516782,570256,54.8984,0.136,0.13,0,1,0,0,1,27,2,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard
CH,5/29/18,88,-0.8437,6.5965,Michael Wacha,592885,608379,field_out,hit_into_play,,,,,7,Christian Yelich grounds out to first baseman Matt Carpenter.  ,R,L,R,MIL,STL,X,3,ground_ball,3,2,2018,-1.0237,1.1596,-0.2997,1.9188,null,null,null,1,6,Bot,155.64,167.59,,,506747,,180530_011917,3.4579,-128.0374,-7.6687,-12.0034,26.5423,-18.0099,3.3732,1.5237,7,82.3,-17.337,88.209,1618,6.436,530224,608379,506747,572761,543939,576397,622168,542303,502054,664056,54.0632,0.081,0.08,0,1,0,0,2,49,6,Changeup,0,5,0,5,5,0,0,5,Standard,Standard
SL,8/28/18,87.3,-1.722,5.668,Anthony DeSclafani,592885,543101,field_out,hit_into_play,,,,,5,"Christian Yelich grounds out, second baseman Scooter Gennett to first baseman Curt Casali.  ",R,L,R,CIN,MIL,X,4,ground_ball,2,2,2018,0.369,0.3702,-0.0997,2.3904,null,null,null,1,1,Top,155.58,152.27,,,571466,,180828_231426,3.1505,-127.303,-2.6138,3.5,21.5767,-27.8705,3.49,1.601,5,80.8,-26.822,87.864,2283,6.142,531385,543101,571466,592200,571697,553993,606299,640447,571740,594988,54.3579,0.044,0.036,0,1,0,0,2,2,5,Slider,0,0,0,0,0,0,0,0,Standard,Standard
